,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
13,nikola vucevic,Atlanta Hawks,34.425,17.0,11.5,3.9,28.5,20.9,15.4,32.4
1,ayo dosunmu,Atlanta Hawks,35.425,11.3,3.2,3.1,14.5,14.4,6.300000000000001,17.6
71,javonte green,Atlanta Hawks,24.445,6.7,4.4,1.0,11.100000000000001,7.7,5.4,12.100000000000001
5,demar derozan,Atlanta Hawks,35.425,30.8,4.9,5.6,35.7,36.4,10.5,41.3
50,coby white,Atlanta Hawks,28.439999999999998,14.0,2.6,2.7,16.6,16.7,5.300000000000001,19.3
12,zach lavine,Atlanta Hawks,34.425,22.8,5.0,3.7,27.8,26.5,8.7,31.5
22,seth curry,Boston Celtics,32.485,14.2,2.9,3.6,17.099999999999998,17.8,6.5,20.7
42,bruce brown,Boston Celtics,30.485,7.9,6.7,1.2,14.600000000000001,9.1,7.9,15.8
86,james johnson,Boston Celtics,20.490000000000002,6.1,3.9,1.5,10.0,7.6,5.4,11.5
55,cam thomas,Boston Celtics,27.485,13.0,3.5,1.0,16.5,14.0,4.5,17.5
32,patty mills,Boston Celtics,32.485,11.3,2.0,2.0,13.3,13.3,4.0,15.3
74,andre drummond,Boston Celtics,23.490000000000002,6.6,10.7,2.1,17.299999999999997,8.7,12.799999999999999,19.4
70,lamarcus aldridge,Boston Celtics,24.490000000000002,12.9,6.0,0.8,18.9,13.700000000000001,6.8,19.700000000000003
4,jayson tatum,Brooklyn Nets,35.4,22.0,7.4,3.5,29.4,25.5,10.9,32.9
36,robert williams,Brooklyn Nets,31.41,10.2,9.3,1.2,19.5,11.399999999999999,10.5,20.7
65,al horford,Brooklyn Nets,25.43,7.7,6.1,2.4,13.8,10.1,8.5,16.2
23,marcus smart,Brooklyn Nets,32.41,12.4,4.2,5.4,16.6,17.8,9.600000000000001,22.0
7,jaylen brown,Brooklyn Nets,34.405,22.1,5.5,2.8,27.6,24.900000000000002,8.3,30.400000000000002
