,Player,Opponent,Min,Pts Est,Reb Est,Ast Est,Pts+Reb Est,Pts+Ast Est,Reb+Ast Est,Pts+Reb+Ast Est
103,cedi osman,Charlotte Hornets,20.54,9.7,2.0,1.7,11.7,11.399999999999999,3.7,13.399999999999999
100,kevin love,Charlotte Hornets,20.314999999999998,13.5,7.4,2.1,20.9,15.6,9.5,23.0
53,isaac okoro,Charlotte Hornets,29.560000000000002,8.7,3.6,2.0,12.299999999999999,10.7,5.6,14.299999999999999
46,lauri markkanen,Charlotte Hornets,31.55,14.8,5.9,1.6,20.700000000000003,16.400000000000002,7.5,22.300000000000004
45,darius garland,Charlotte Hornets,31.369999999999997,18.3,2.9,7.3,21.2,25.6,10.2,28.5
34,jarrett allen,Charlotte Hornets,32.565,17.3,11.0,1.7,28.3,19.0,12.7,30.0
20,evan mobley,Charlotte Hornets,33.69,14.9,9.0,2.7,23.9,17.6,11.7,26.6
56,p.j. washington,Cleveland Cavaliers,29.605,10.9,5.8,1.3,16.7,12.200000000000001,7.1,18.0
79,montrezl harrell,Cleveland Cavaliers,24.585,12.1,6.3,1.9,18.4,14.0,8.2,20.3
17,lamelo ball,Cleveland Cavaliers,33.614999999999995,18.7,6.0,6.7,24.7,25.4,12.7,31.4
68,kelly oubre jr.,Cleveland Cavaliers,27.6,15.1,3.6,1.0,18.7,16.1,4.6,19.700000000000003
8,miles bridges,Cleveland Cavaliers,35.625,19.1,6.1,3.0,25.200000000000003,22.1,9.1,28.200000000000003
7,terry rozier,Cleveland Cavaliers,35.625,19.1,4.1,4.3,23.200000000000003,23.400000000000002,8.399999999999999,27.5
19,tre mann,Denver Nuggets,32.095,13.2,2.9,1.0,16.099999999999998,14.2,3.9,17.099999999999998
3,shai gilgeous-alexander,Denver Nuggets,35.485,24.4,4.3,5.3,28.7,29.7,9.6,34.0
24,darius bazley,Denver Nuggets,31.485,10.3,7.2,1.0,17.5,11.3,8.2,18.5
73,aleksej pokusevski,Denver Nuggets,24.490000000000002,7.9,5.6,1.3,13.5,9.200000000000001,6.8999999999999995,14.8
88,lindy waters iii,Denver Nuggets,20.490000000000002,1.8,1.7,0.0,3.5,1.8,1.7,3.5
59,vit krejci,Denver Nuggets,27.490000000000002,-0.1,1.3,-0.0,1.2,-0.1,1.3,1.2
62,isaiah roby,Denver Nuggets,26.490000000000002,9.6,5.2,0.8,14.8,10.4,6.0,15.600000000000001
39,rudy gobert,Houston Rockets,31.369999999999997,19.4,15.5,1.2,34.9,20.599999999999998,16.7,36.099999999999994
78,jordan clarkson,Houston Rockets,24.47,15.9,3.1,2.2,19.0,18.1,5.300000000000001,21.200000000000003
49,bojan bogdanovic,Houston Rockets,30.45,20.0,4.0,1.2,24.0,21.2,5.2,25.2
48,royce o'neale,Houston Rockets,30.45,7.6,4.0,1.9,11.6,9.5,5.9,13.5
18,donovan mitchell,Houston Rockets,33.364999999999995,28.5,4.5,5.1,33.0,33.6,9.6,38.1
65,mike conley,Houston Rockets,28.384999999999998,14.2,3.0,5.7,17.2,19.9,8.7,22.9
57,wendell carter jr.,Indiana Pacers,29.485,14.4,10.7,2.3,25.1,16.7,13.0,27.4
99,gary harris,Indiana Pacers,20.490000000000002,7.8,1.2,1.0,9.0,8.8,2.2,10.0
72,chuma okeke,Indiana Pacers,26.485,8.0,4.0,1.3,12.0,9.3,5.3,13.3
55,cole anthony,Indiana Pacers,29.485,15.4,4.8,5.1,20.2,20.5,9.899999999999999,25.3
37,franz wagner,Indiana Pacers,31.445,17.9,3.8,2.8,21.7,20.7,6.6,24.5
76,mo bamba,Indiana Pacers,25.485,9.2,8.0,0.9,17.2,10.1,8.9,18.1
54,jalen suggs,Indiana Pacers,29.485,14.0,3.7,4.2,17.7,18.2,7.9,21.9
96,grayson allen,Miami Heat,21.525,8.4,2.0,0.9,10.4,9.3,2.9,11.3
47,bobby portis,Miami Heat,30.72,14.8,9.2,0.9,24.0,15.700000000000001,10.1,24.9
28,khris middleton,Miami Heat,33.75,20.0,5.5,5.4,25.5,25.4,10.9,30.9
25,jrue holiday,Miami Heat,33.7,17.0,4.4,6.3,21.4,23.3,10.7,27.700000000000003
21,giannis antetokounmpo,Miami Heat,33.85,27.6,11.9,5.6,39.5,33.2,17.5,45.1
89,wesley matthews,Miami Heat,22.4,4.5,1.4,0.7,5.9,5.2,2.0999999999999996,6.6
102,caleb martin,Milwaukee Bucks,20.490000000000002,8.5,3.7,0.8,12.2,9.3,4.5,13.0
93,duncan robinson,Milwaukee Bucks,21.43,7.5,2.3,1.0,9.8,8.5,3.3,10.8
40,gabe vincent,Milwaukee Bucks,31.46,10.8,2.0,3.7,12.8,14.5,5.7,16.5
